Альдрин,1.857,309-00-2
Бенз(а)пирен,1.6,50-32-8
Бензол,2.14,71-43-2
Гексахлорбензол,2.166,
2-4Динитрофенол,1.5,
Ди(n)бутилфталат,2,
Диоксины,1.4,
Дихлорпропен,2.2,
Диметилфтатат,2.166,
Дихлорфенол,1.5,
Дихлордифенилтрихлорэтан,2,
Кадмий,2.12,
Линдан,2.25,
Марганец,3.15,
Медь,2.84,
Мышьяк,2.27,
Нафталин,2.286,
Никель,2.64,
N-нитрозодифениламин,2.8,
Пентахлорбифенилы,1.6,
Пентахлорфенол,1.66,
Ртуть,1.79,
Стронций,3.09,
Серебро,2.14,
Свинец,2.36,
Тетрахлорэтан,2.4,
Толуол,2.69,
Трихлорбензол,2.33,
Фенол,2.28,
Фураны,2.166,
Хлороформ,2,
Хром трехвалентный,2.92,
Хром шестивалентный,2.33,
Цинк,2.8,
Этилбензол,2.86,
вода,4,
крахмал,4,
Органический углерод,4,
клетчатка,4,
